,action,autobiographical_memory,cognitive_control,emotion,eye_movements,inhibition,language,motor,pain,reading,social_cognition,visual_attention,visual_perception,visuospatial,working_memory
posteriorcingulate,0.04301085811200402,0.8518450115918019,0.6634696987414722,0.5982003247377301,-0.5516028868727109,-0.09755769070547127,-0.7416286674816335,1.0445337128699093,2.4890526119771526,-0.2979263046755167,0.4588404646548863,-0.4013905890348913,0.026499872889266935,0.29726270979309294,-0.02609174455802833
precentral,2.3236066186790003,-0.4807187431997662,-0.3069421349809432,-1.2610090464208772,1.104277297562913,-0.16398869083334283,1.5422653360638954,7.052697005833833,0.7731737323025626,1.4420209796516943,-0.5254122904005012,-0.25050117724703375,-0.0037496193792730535,0.15489031641344894,0.3962922208337792
precuneus,-0.03880507516230419,2.2014102650174405,0.20777493745053982,0.042761978875827326,-0.35244589403180165,-0.3218386354086496,-0.40563246886416027,-0.5082280051738689,0.13800091673396533,-0.10405948690495717,0.7831167450501871,0.31455348353462115,-0.09851400593446887,0.5530673919597462,-0.05695022056820638
rostralanteriorcingulate,-1.0465575283236057,1.8930800122102236,0.45946051867020526,2.8056350936116408,-0.9466629743385152,-0.22668204010633036,-1.6645497190971819,-2.908987948197211,1.5914619051661894,-1.0877433866720814,1.0095951241197734,-0.5369094463876602,0.03614838065985629,-0.8154324402466703,-1.1359013106511806
rostralmiddlefrontal,0.08695800120182566,0.6203449287984835,0.9558537167849671,-0.04783570688784331,-0.40344042848066597,0.3166708726319896,0.3685191788552546,-0.5444084897243786,0.23396538664482755,0.06685306799551805,0.19712049884246938,-0.19264084251361083,-0.2642908880479648,0.026886043752917376,1.731030787715431
superiorfrontal,0.8615518347218993,0.9176699473626602,0.31554590599786253,0.5480453827972918,-0.11174398334858819,-0.11265873177754615,0.413612353797691,1.5230468248261142,0.47275086009208517,0.339727624937504,0.771521181263005,-0.38325535815937056,-0.21499043165229717,-0.0899691010650142,0.5095892651837491
superiorparietal,2.4060325575800228,-0.24301864922672903,0.031103361304562257,-1.4322791723831618,2.4792729335409285,-0.5607772427767432,-0.16903300021684964,2.558041315972757,-0.7458832358779504,0.739267863052596,-0.43369460117019454,1.2558872025676873,0.44258031776627266,1.4540874877189491,1.9020474852211433
superiortemporal,-0.4919115514510331,0.735856832045956,-0.6355780558863766,0.45652464675492216,-0.44835527469586606,-1.0899153526379666,4.111059928675548,-0.19942015053320938,-0.35686565630715633,1.7120856049197324,0.4911646197510742,-0.43354231379076913,0.031267306928557545,-0.2123860340828574,-0.43286087624757646
supramarginal,2.2998270649091084,-0.06842947586740833,-0.023028453489385182,-0.4784274114511324,-0.1490013666724395,0.014986111290767646,0.7650203956104162,3.0739564306199,2.0914986668649296,0.6618059666560102,-0.16553710270719382,-0.05888010291947006,0.04569297318732175,0.1690934549837117,0.1285625054007574
frontalpole,-0.05932949636790362,1.795038425957916,-0.7980026532628162,1.1879818188195288,-0.17594388771300673,-0.3543340262199961,-0.7086267578781865,-1.3940528447511968,0.11215545722189924,-0.9249615564380764,0.6112161349318811,0.43535167617423576,-0.40276859189464975,-0.43068151159218887,-0.5397361130895033
temporalpole,-0.5511074632804255,0.19858985814071017,-0.34400093808887927,1.1047021963513546,0.10883673553985236,-0.2761155057032083,0.9140308317584414,-1.6918495851742879,0.04321472754930568,0.023609365901850414,-0.2613711601197211,-0.39203499241002326,-0.4396596776348943,0.2782630222761583,-0.17603365782156824
